DR Number,Date Reported,Date Occurred,Time Occurred,Area ID,Area Name,Reporting District,Crime Code,Crime Code Description,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Code,Premise Description,Address,Cross Street,Location,Zip Codes,Census Tracts,Precinct Boundaries,LA Specific Plans,Council Districts,Neighborhood Councils (Certified)
191323054,2019-11-30T00:00:00.000,2019-11-30T00:00:00.000,0130,13,Newton,1385,997,TRAFFIC COLLISION,,,F,H,101,STREET,SAN PEDRO                    ST,SLAUSON                      AV,"{'longitude': '-118.2696', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '33.9885'}",22352,786,858,7,13,46
192020666,2019-11-30T00:00:00.000,2019-11-30T00:00:00.000,0015,20,Olympic,2054,997,TRAFFIC COLLISION,,40,M,W,101,STREET,OLYMPIC                      BL,KINGSLEY                     AV,"{'longitude': '-118.3031', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '34.0526'}",22723,617,646,,12,89
191616992,2019-11-30T00:00:00.000,2019-11-30T00:00:00.000,0230,16,Foothill,1669,997,TRAFFIC COLLISION,,18,M,W,101,STREET,TUJUNGA CANYON               BL,LA TUNA CANYON               RD,"{'longitude': '-118.2704', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '34.2339'}",3222,5,227,,1,7
191824082,2019-11-30T00:00:00.000,2019-11-30T00:00:00.000,0730,18,Southeast,1802,997,TRAFFIC COLLISION,0605,23,M,H,101,STREET,88TH                         ST,MAIN                         ST,"{'longitude': '-118.2739', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '33.9572'}",22352,800,358,7,14,45
191616980,2019-11-30T00:00:00.000,2019-11-30T00:00:00.000,0720,16,Foothill,1689,997,TRAFFIC COLLISION,,,M,H,101,STREET,CROCKETT,SUNLAND,"{'longitude': '-118.3703', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '34.2215'}",19335,166,272,,3,21
191824078,2019-11-30T00:00:00.000,2019-11-30T00:00:00.000,1050,18,Southeast,1836,997,TRAFFIC COLLISION,4025 3037 3004 3026 3101,54,F,B,101,STREET,COMPTON                      AV,109TH                        ST,"{'longitude': '-118.2463', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '33.9368'}",24354,817,1187,7,15,40
190417458,2019-11-30T00:00:00.000,2019-11-30T00:00:00.000,0130,04,Hollenbeck,0411,997,TRAFFIC COLLISION,0605,33,F,B,101,STREET,BROADWAY,PASADENA                     AV,"{'longitude': '-118.2242', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '34.072'}",23448,492,943,1,11,1
191616985,2019-11-30T00:00:00.000,2019-11-30T00:00:00.000,0700,16,Foothill,1687,997,TRAFFIC COLLISION,,35,M,H,101,STREET,TUJUNGA                      AV,PENROSE                      ST,"{'longitude': '-118.3795', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '34.2233'}",19335,162,272,,3,21
191718751,2019-11-30T00:00:00.000,2019-11-30T00:00:00.000,1230,17,Devonshire,1775,997,TRAFFIC COLLISION,,51,M,O,101,STREET,WISH,VINCENNES,"{'longitude': '-118.5084', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '34.2418'}",18514,104,1422,,2,87
191718743,2019-11-30T00:00:00.000,2019-11-30T00:00:00.000,0010,17,Devonshire,1737,997,TRAFFIC COLLISION,,23,F,H,101,STREET,HAYVENHURST,SAN FERNANDO MISSION,"{'longitude': '-118.4934', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '34.272'}",19329,78,382,,2,79
